"Date","AdjOutstanding"
1985-02-02,2.40903125892967
1986-06-27,5.21870482731135
1988-10-31,8.60610185397028
1990-04-14,10.6041359990126
1991-07-07,15.6240938817318
1993-01-29,16.5774122171104
1994-03-13,17.0076963203405
1994-11-13,24.4744898268314
1996-01-15,32.4847473147624
1997-01-17,39.982768485981
1997-12-09,44.0259697935521
1999-01-01,52.680533998011
1999-10-13,62.4707217321547
2000-11-04,76.1393900897982
2001-07-07,88.6887833815165
2002-01-07,96.1444524697288
2002-12-19,102.184941630131
2003-10-21,93.7193759282505
2004-06-02,81.9451003847683
2004-12-23,77.1869977817815
2005-09-14,84.7032331472888
2005-12-25,96.1791550575666
2006-06-27,102.662615288795
2007-04-08,110.832049908963
2007-12-29,112.5728674468
2008-07-21,125.903614457831
2008-12-11,140.361445783132
2009-04-12,150.720423158132
2009-08-13,165.131937723053
2009-09-02,184.947770249819
2009-09-02,211.969360059046
2009-12-13,228.182313944582
2010-04-14,246.564045237379
2010-08-15,268.535098773383
2010-09-25,306.984442461391
2010-11-04,347.264707277398
2010-12-15,382.052208709405
2011-01-25,424.261810539515
2011-06-17,445.034273073348
2011-07-27,475.248764031652
2011-11-06,501.686443620168
2011-11-27,537.566151633153
2012-05-08,569.939484050786
2012-07-29,594.998830023707
2012-09-08,631.62402798413
2012-10-19,654.755731959133
2013-01-09,701.520693052845
2013-05-31,726.947558321489
2013-07-11,756.286249016078
2013-10-21,809.095892266339
2013-12-01,781.713114284722
2014-03-13,847.959898062641
2014-08-03,873.796176206737
2014-08-03,897.645048339749
2014-12-03,925.468732494929
2014-12-23,959.254634683362
2015-03-15,976.309411780735
2015-07-15,996.207022075179
2015-09-14,1026.05343751685
2016-01-15,1057.0727743072
2016-01-15,1073.06883142156
